z,y,x,tomo_id,dataset_id
67.0,191.1702017535124,345.3245735225382,aba2013-04-06-10,10287
68.0,187.61279333080915,229.1158983808985,aba2013-04-06-12,10287
64.0,481.0989882038277,228.52299697711464,aba2013-04-06-13,10287
61.0,146.7025964697217,236.8236166300889,aba2013-04-06-14,10287
69.0,83.85504766863087,398.0927984593032,aba2013-04-06-15,10287
64.0,498.8860303173439,160.33933554196892,aba2013-04-06-15,10287
64.0,166.2683427945896,311.52919350685727,aba2013-04-06-16,10287
60.0,187.01989192702524,412.3224321501161,aba2013-04-06-17,10287
67.0,162.71093437188634,240.973926456576,aba2013-04-06-18,10287
65.0,178.71927227405098,291.9634471819893,aba2013-04-06-19,10287
59.0,236.23070844108693,444.3391079544455,aba2013-04-06-20,10287
66.0,181.0908778891865,229.1158983808985,aba2013-04-06-21,10287
64.0,199.47082140648664,167.45415238737542,aba2013-04-06-22,10287
67.0,267.6544828416324,227.33719416954688,aba2013-04-06-7,10287
59.0,216.66496211621904,312.714996314425,aba2013-04-06-8,10287
65.0,400.4643972892205,205.9927436333273,aba2013-04-06-9,10287
51.0,49.60034006812697,353.151982145604,aba2013-12-24-1,10261
60.0,186.48495143234783,349.71554838750643,aba2013-12-24-21,10261
51.0,75.94633221354187,189.3486396762853,aba2013-12-24-7,10261
59.0,212.25820461807984,325.0877731211403,aba2013-12-25-14,10261
68.0,175.60291119837214,212.2581980636026,aba2013-12-25-17,10261
64.0,410.4258846683746,321.07860040335976,aba2013-12-25-18,10261
67.0,113.74710355261544,244.90431876552967,aba2013-12-25-6,10261
38.0,404.02180571192383,255.7964615511729,aba2014-02-21-11,10268
57.0,325.1659190086683,165.08254677223994,aba2014-02-21-12,10268
33.0,343.54586252596846,168.04705379115927,aba2014-02-21-13,10268
18.0,356.58969340921374,203.62113801819183,aba2014-02-21-14,10268
61.0,243.34552528649343,292.5563485857732,aba2014-02-21-15,10268
67.0,347.1032709486717,142.55229342845263,aba2014-02-21-16,10268
71.0,382.0844537719204,254.6106587436052,aba2014-02-21-17,10268
69.0,171.60445542864448,169.82575800251095,aba2014-02-21-18,10268
83.0,271.8047926681195,326.9446209582805,aba2014-02-21-19,10268
57.0,338.2097498919136,157.37482852304953,aba2014-02-21-24,10268
42.0,361.9258060432686,179.31218046305293,aba2014-02-21-26,10268
48.0,271.8047926681195,213.1075604787339,aba2014-02-21-27,10268
45.0,171.0115540248606,185.8340959046756,aba2014-02-21-2,10268
75.0,335.8381442767781,295.5208556046926,aba2014-02-21-3,10268
73.0,367.8548200811074,259.35386997387616,aba2014-02-21-5,10268
58.0,163.89673717945408,133.6587723716945,aba2014-02-21-6,10268
50.0,358.36839762056536,225.55848995819525,aba2014-02-21-8,10268
34.0,272.3976940719034,256.9822643587407,aba2014-02-21-9,10268
53.0,327.5318417003715,296.5380694690314,aba2014-03-04-10,10274
62.0,344.7506077002482,313.7568354689081,aba2014-03-04-11,10274
55.0,186.91191936804512,151.32647620340452,aba2014-03-04-12,10274
69.0,337.289142433635,209.2963217363228,aba2014-03-04-13,10274
68.0,77.28577583549675,281.04118006914234,aba2014-03-04-16,10274
68.0,254.06510676756423,159.36190033668032,aba2014-03-04-16,10274
66.0,163.3796058348803,167.97128333661868,aba2014-03-04-17,10274
56.0,253.4911479009017,218.4796636029237,aba2014-03-04-18,10274
54.0,255.21302450088933,146.73480527010406,aba2014-03-04-19,10274
61.0,355.6558261668368,313.7568354689081,aba2014-03-04-1,10274
55.0,298.2599395005811,388.94544700170303,aba2014-03-04-20,10274
59.0,370.57875670006325,256.9349076693149,aba2014-03-04-22,10274
68.0,309.1651579671697,379.18814626843954,aba2014-03-04-23,10274
63.0,291.946391967293,161.65773580333052,aba2014-03-04-25,10274
65.0,337.289142433635,228.2369643361872,aba2014-03-04-27,10274
