tomo_id,Z,Y,X,voxel_spacing,num_motors,motor_z,motor_y,motor_x,motor_zyx
aba2013-04-06-10,541,625,647,16.0,1,281.5,229.5,445.5,"[[281.5, 229.5, 445.5]]"
aba2013-04-06-12,541,625,647,16.0,1,281.5,221.5,289.5,"[[281.5, 221.5, 289.5]]"
aba2013-04-06-13,541,625,647,16.0,1,265.5,597.5,281.5,"[[265.5, 597.5, 281.5]]"
aba2013-04-06-14,541,625,647,16.0,1,249.5,169.5,301.5,"[[249.5, 169.5, 301.5]]"
aba2013-04-06-15,541,625,647,16.0,2,297.5,105.5,497.5,"[[297.5, 105.5, 497.5], [273.5, 609.5, 205.5]]"
aba2013-04-06-16,541,625,647,16.0,1,277.5,201.5,393.5,"[[277.5, 201.5, 393.5]]"
aba2013-04-06-17,541,625,647,16.0,1,253.5,229.5,525.5,"[[253.5, 229.5, 525.5]]"
aba2013-04-06-18,541,625,647,16.0,1,281.5,193.5,309.5,"[[281.5, 193.5, 309.5]]"
aba2013-04-06-19,541,625,647,16.0,1,273.5,217.5,373.5,"[[273.5, 217.5, 373.5]]"
aba2013-04-06-20,541,625,647,16.0,1,245.5,285.5,573.5,"[[245.5, 285.5, 573.5]]"
aba2013-04-06-21,541,625,647,16.0,1,277.5,213.5,289.5,"[[277.5, 213.5, 289.5]]"
aba2013-04-06-22,541,625,647,16.0,1,269.5,233.5,209.5,"[[269.5, 233.5, 209.5]]"
aba2013-04-06-7,541,625,647,16.0,1,285.5,325.5,281.5,"[[285.5, 325.5, 281.5]]"
aba2013-04-06-8,541,625,647,16.0,1,245.5,261.5,401.5,"[[245.5, 261.5, 401.5]]"
aba2013-04-06-9,541,625,647,16.0,1,277.5,493.5,257.5,"[[277.5, 493.5, 257.5]]"
aba2013-12-24-1,800,928,960,16.145,1,318.5,88.6875,667.5,"[[318.5, 88.6875, 667.5]]"
aba2013-12-24-21,800,928,960,16.145,1,374.0,338.5,655.5,"[[374.0, 338.5, 655.5]]"
aba2013-12-24-7,800,928,960,16.145,1,318.5,136.25,354.25,"[[318.5, 136.25, 354.25]]"
aba2013-12-25-14,800,928,960,16.145,1,370.25,386.0,612.0,"[[370.25, 386.0, 612.0]]"
aba2013-12-25-17,800,928,960,16.145,1,429.5,314.75,398.0,"[[429.5, 314.75, 398.0]]"
aba2013-12-25-18,800,928,960,16.145,1,398.0,743.0,596.0,"[[398.0, 743.0, 596.0]]"
aba2013-12-25-6,800,928,960,16.145,1,417.75,203.625,457.25,"[[417.75, 203.625, 457.25]]"
aba2014-02-21-11,408,757,783,16.0,1,129.5,597.5,393.5,"[[129.5, 597.5, 393.5]]"
aba2014-02-21-12,408,757,783,16.0,1,177.5,477.5,261.5,"[[177.5, 477.5, 261.5]]"
aba2014-02-21-13,408,757,783,16.0,1,121.5,509.5,245.5,"[[121.5, 509.5, 245.5]]"
aba2014-02-21-14,408,757,783,16.0,1,65.5,533.5,309.5,"[[65.5, 533.5, 309.5]]"
aba2014-02-21-15,408,757,783,16.0,1,189.5,361.5,453.5,"[[189.5, 361.5, 453.5]]"
aba2014-02-21-16,408,757,783,16.0,1,249.5,529.5,265.5,"[[249.5, 529.5, 265.5]]"
aba2014-02-21-17,408,757,783,16.0,1,217.5,573.5,385.5,"[[217.5, 573.5, 385.5]]"
