tomo_id,Z,Y,X,voxel_spacing,ori_num_motors,num_motors,ZA,YA,XA,V,VA,motor_z,motor_y,motor_x,motor_zA,motor_yA,motor_xA,motor_zyx,motor_zyxA
tomo_003acc,500,1912,1847,6.5,0,0,3250.0,12428.0,12005.5,1765732000,484914150500.0,-1.0,-1.0,-1.0,-6.5,-6.5,-6.5,[],[]
tomo_00e047,300,959,928,15.6,1,1,4680.0,14960.4,14476.8,266985600,1013588403609.6,169.0,546.0,603.0,2636.4,8517.6,9406.8,"[[169.0, 546.0, 603.0]]","[[2636.4, 8517.6, 9406.8]]"
tomo_00e463,500,924,956,19.7,6,6,9850.0,18202.8,18833.2,441672000,3376747183656.0,235.0,403.0,137.0,4629.5,7939.099999999999,2698.9,"[[235.0, 403.0, 137.0], [243.0, 363.0, 153.0], [222.0, 379.0, 144.0], [225.0, 262.0, 628.0], [225.0, 241.0, 643.0], [231.0, 289.0, 632.0]]","[[4629.5, 7939.099999999999, 2698.9], [4787.099999999999, 7151.099999999999, 3014.1], [4373.4, 7466.3, 2836.7999999999997], [4432.5, 5161.4, 12371.6], [4432.5, 4747.7, 12667.1], [4550.7, 5693.3, 12450.4]]"
tomo_01a877,300,960,928,13.1,1,1,3930.0,12576.0,12156.8,267264000,600833793024.0,147.0,638.0,286.0,1925.7,8357.8,3746.6,"[[147.0, 638.0, 286.0]]","[[1925.7, 8357.8, 3746.6]]"
tomo_02862f,300,959,928,15.6,1,1,4680.0,14960.4,14476.8,266985600,1013588403609.6,101.0,351.0,120.0,1575.6,5475.599999999999,1872.0,"[[101.0, 351.0, 120.0]]","[[1575.6, 5475.599999999999, 1872.0]]"
tomo_0308c5,300,960,928,15.6,0,0,4680.0,14976.0,14476.8,267264000,1014645325824.0,-1.0,-1.0,-1.0,-15.6,-15.6,-15.6,[],[]
tomo_0333fa,300,960,928,16.8,0,0,5040.0,16128.0,15590.400000000001,267264000,1267267534848.0,-1.0,-1.0,-1.0,-16.8,-16.8,-16.8,[],[]
tomo_033ebe,300,960,928,13.1,1,1,3930.0,12576.0,12156.8,267264000,600833793024.0,88.0,711.0,308.0,1152.8,9314.1,4034.7999999999997,"[[88.0, 711.0, 308.0]]","[[1152.8, 9314.1, 4034.7999999999997]]"
tomo_03437b,300,959,928,15.6,1,1,4680.0,14960.4,14476.8,266985600,1013588403609.6,138.0,864.0,620.0,2152.7999999999997,13478.4,9672.0,"[[138.0, 864.0, 620.0]]","[[2152.7999999999997, 13478.4, 9672.0]]"
tomo_0363f2,300,960,928,13.1,1,1,3930.0,12576.0,12156.8,267264000,600833793024.0,50.0,574.0,392.0,655.0,7519.4,5135.2,"[[50.0, 574.0, 392.0]]","[[655.0, 7519.4, 5135.2]]"
tomo_040b80,600,928,960,16.1,0,1,9660.0,14940.800000000001,15456.000000000002,534528000,2230735546368.0005,448.75,265.75,766.5,7224.875000000001,4278.575000000001,12340.650000000001,"[[448.75, 265.75, 766.5]]","[[7224.875000000001, 4278.575000000001, 12340.650000000001]]"
tomo_049310,500,924,956,19.7,0,0,9850.0,18202.8,18833.2,441672000,3376747183656.0,-1.0,-1.0,-1.0,-19.7,-19.7,-19.7,[],[]
tomo_04d42b,500,1024,1440,13.3,0,0,6650.0,13619.2,19152.0,737280000,1734552207360.0,-1.0,-1.0,-1.0,-13.3,-13.3,-13.3,[],[]
tomo_05b39c,800,928,960,13.1,0,0,10480.0,12156.8,12576.0,712704000,1602223448063.9998,-1.0,-1.0,-1.0,-13.1,-13.1,-13.1,[],[]
tomo_05df8a,300,928,928,15.6,1,1,4680.0,14476.8,14476.8,258355200,980823814963.2,130.0,257.0,762.0,2028.0,4009.2,11887.199999999999,"[[130.0, 257.0, 762.0]]","[[2028.0, 4009.2, 11887.199999999999]]"
tomo_05f919,300,959,928,15.6,1,1,4680.0,14960.4,14476.8,266985600,1013588403609.6,121.0,471.0,845.0,1887.6,7347.599999999999,13182.0,"[[121.0, 471.0, 845.0]]","[[1887.6, 7347.599999999999, 13182.0]]"
