tomo_id,Z,Y,X,voxel_spacing,num_motors,motor_z,motor_y,motor_x,motor_zyx
tomo_003acc,500,1912,1847,6.5,0,-1.0,-1.0,-1.0,[]
tomo_00e047,300,959,928,15.6,1,169.0,546.0,603.0,"[[169.0, 546.0, 603.0]]"
tomo_00e463,500,924,956,19.7,8,235.0,403.0,137.0,"[[235.0, 403.0, 137.0], [243.0, 363.0, 153.0], [222.0, 379.0, 144.0], [225.0, 241.0, 643.0], [231.0, 289.0, 632.0], [225.0, 262.0, 628.0], [254.5, 374.75, 144.125], [205.75, 261.0, 943.5]]"
tomo_01a877,300,960,928,13.1,1,147.0,638.0,286.0,"[[147.0, 638.0, 286.0]]"
tomo_02862f,300,959,928,15.6,1,101.0,351.0,120.0,"[[101.0, 351.0, 120.0]]"
tomo_0308c5,300,960,928,15.6,0,-1.0,-1.0,-1.0,[]
tomo_0333fa,300,960,928,16.8,1,241.375,435.75,592.0,"[[241.375, 435.75, 592.0]]"
tomo_033ebe,300,960,928,13.1,1,88.0,711.0,308.0,"[[88.0, 711.0, 308.0]]"
tomo_03437b,300,959,928,15.6,1,138.0,864.0,620.0,"[[138.0, 864.0, 620.0]]"
tomo_0363f2,300,960,928,13.1,1,50.0,574.0,392.0,"[[50.0, 574.0, 392.0]]"
tomo_040b80,600,928,960,16.1,1,448.75,265.75,766.5,"[[448.75, 265.75, 766.5]]"
tomo_049310,500,924,956,19.7,0,-1.0,-1.0,-1.0,[]
tomo_04d42b,500,1024,1440,13.3,0,-1.0,-1.0,-1.0,[]
tomo_05b39c,800,928,960,13.1,0,-1.0,-1.0,-1.0,[]
tomo_05df8a,300,928,928,15.6,1,130.0,257.0,762.0,"[[130.0, 257.0, 762.0]]"
tomo_05f919,300,959,928,15.6,2,121.0,471.0,845.0,"[[121.0, 471.0, 845.0], [128.75, 686.5, 892.0]]"
tomo_066095,300,960,928,15.6,0,-1.0,-1.0,-1.0,[]
tomo_06e11e,300,960,928,15.6,1,134.875,241.5,487.75,"[[134.875, 241.5, 487.75]]"
tomo_072a16,300,960,928,16.8,0,-1.0,-1.0,-1.0,[]
tomo_081a2d,300,959,928,15.6,1,152.0,314.0,651.0,"[[152.0, 314.0, 651.0]]"
tomo_08446f,500,924,956,19.7,2,235.0,740.0,54.0,"[[235.0, 740.0, 54.0], [246.0, 778.0, 45.0]]"
tomo_087d64,800,927,959,13.1,0,-1.0,-1.0,-1.0,[]
tomo_08a6d6,800,928,960,13.1,0,-1.0,-1.0,-1.0,[]
tomo_08bf73,800,928,960,16.1,0,-1.0,-1.0,-1.0,[]
tomo_098751,500,924,956,16.1,2,299.5,100.875,152.5,"[[299.5, 100.875, 152.5], [232.0, 271.75, 343.25]]"
tomo_0a180f,800,928,960,13.1,0,-1.0,-1.0,-1.0,[]
