row_id,tomo_id,Motor axis 0,Motor axis 1,Motor axis 2,Array shape (axis 0),Array shape (axis 1),Array shape (axis 2),Voxel spacing,Number of motors,source,conf
0,tomo_003acc,-1.0,-1.0,-1.0,500,1912,1847,6.5,0,origin,1.0
1,tomo_00e047,169.0,546.0,603.0,300,959,928,15.6,1,origin,1.0
2,tomo_00e463,235.0,403.0,137.0,500,924,956,19.7,6,origin,1.0
3,tomo_00e463,243.0,363.0,153.0,500,924,956,19.7,6,origin,1.0
4,tomo_00e463,222.0,379.0,144.0,500,924,956,19.7,6,origin,1.0
5,tomo_00e463,225.0,262.0,628.0,500,924,956,19.7,6,origin,1.0
6,tomo_00e463,225.0,241.0,643.0,500,924,956,19.7,6,origin,1.0
7,tomo_00e463,231.0,289.0,632.0,500,924,956,19.7,6,origin,1.0
8,tomo_01a877,147.0,638.0,286.0,300,960,928,13.1,1,origin,1.0
9,tomo_02862f,101.0,351.0,120.0,300,959,928,15.6,1,origin,1.0
10,tomo_0308c5,-1.0,-1.0,-1.0,300,960,928,15.6,0,origin,1.0
11,tomo_0333fa,-1.0,-1.0,-1.0,300,960,928,16.8,0,round1,1.0
12,tomo_033ebe,88.0,711.0,308.0,300,960,928,13.1,1,origin,1.0
13,tomo_03437b,138.0,864.0,620.0,300,959,928,15.6,1,origin,1.0
14,tomo_0363f2,50.0,574.0,392.0,300,960,928,13.1,1,origin,1.0
15,tomo_040b80,448.75,265.75,766.5,600,928,960,16.1,0,round1,0.5458984375
16,tomo_049310,-1.0,-1.0,-1.0,500,924,956,19.7,0,round1,1.0
17,tomo_04d42b,-1.0,-1.0,-1.0,500,1024,1440,13.3,0,origin,1.0
18,tomo_05b39c,-1.0,-1.0,-1.0,800,928,960,13.1,0,origin,1.0
19,tomo_05df8a,130.0,257.0,762.0,300,928,928,15.6,1,origin,1.0
20,tomo_05f919,121.0,471.0,845.0,300,959,928,15.6,1,origin,1.0
21,tomo_066095,-1.0,-1.0,-1.0,300,960,928,15.6,0,origin,1.0
22,tomo_06e11e,134.875,241.5,487.75,300,960,928,15.6,0,round1,0.07177734375
23,tomo_072a16,-1.0,-1.0,-1.0,300,960,928,16.8,0,origin,1.0
24,tomo_081a2d,152.0,314.0,651.0,300,959,928,15.6,1,origin,1.0
25,tomo_08446f,235.0,740.0,54.0,500,924,956,19.7,2,origin,1.0
26,tomo_08446f,246.0,778.0,45.0,500,924,956,19.7,2,origin,1.0
27,tomo_087d64,-1.0,-1.0,-1.0,800,927,959,13.1,0,origin,1.0
28,tomo_08a6d6,-1.0,-1.0,-1.0,800,928,960,13.1,0,round1,1.0
29,tomo_08bf73,-1.0,-1.0,-1.0,800,928,960,16.1,0,origin,1.0
30,tomo_098751,-1.0,-1.0,-1.0,500,924,956,16.1,0,round1,1.0
31,tomo_0a180f,-1.0,-1.0,-1.0,800,928,960,13.1,0,origin,1.0
32,tomo_0a8f05,52.0,587.0,575.0,300,928,928,13.1,1,origin,1.0
33,tomo_0c2749,-1.0,-1.0,-1.0,300,960,928,15.6,0,round1,1.0
34,tomo_0c3a99,125.0,645.0,227.0,300,959,928,15.6,1,origin,1.0
35,tomo_0c3d78,-1.0,-1.0,-1.0,800,928,960,13.1,0,origin,1.0
36,tomo_0d4c9e,-1.0,-1.0,-1.0,300,960,928,15.6,0,round1,1.0
37,tomo_0da370,28.0,356.0,636.0,300,928,928,13.1,1,origin,1.0
38,tomo_0de3ee,131.0,139.0,326.0,500,928,960,13.1,2,origin,1.0
39,tomo_0de3ee,203.0,642.0,801.0,500,928,960,13.1,2,origin,1.0
40,tomo_0e9757,-1.0,-1.0,-1.0,300,960,928,16.8,0,origin,1.0
41,tomo_0eb41e,-1.0,-1.0,-1.0,300,960,928,16.8,0,round1,1.0
42,tomo_0eb994,161.0,835.0,630.0,300,959,928,15.6,1,origin,1.0
43,tomo_0f9df0,94.0,174.0,599.0,300,960,928,15.6,1,origin,1.0
44,tomo_0fab19,159.0,516.0,681.0,300,959,928,15.6,1,origin,1.0
45,tomo_0fe63f,197.0,362.0,265.0,300,960,928,13.1,1,origin,1.0
46,tomo_101279,161.0,295.0,585.0,300,928,928,13.1,1,origin,1.0
47,tomo_10a3bd,-1.0,-1.0,-1.0,500,1024,1440,13.3,0,origin,1.0
48,tomo_10c564,16.0,455.0,267.0,300,960,928,13.1,1,origin,1.0
49,tomo_122a02,127.0,808.0,140.0,300,959,928,15.6,1,origin,1.0
50,tomo_122c46,-1.0,-1.0,-1.0,300,960,928,16.8,0,origin,1.0
51,tomo_12f896,95.0,404.0,212.0,300,960,928,13.1,1,origin,1.0
52,tomo_13484c,153.0,768.0,658.0,300,928,928,15.6,1,origin,1.0
53,tomo_134bb0,55.0,252.0,173.0,300,959,928,15.6,1,origin,1.0
54,tomo_136c8d,-1.0,-1.0,-1.0,500,924,956,19.7,0,round1,1.0
55,tomo_138018,144.0,233.0,455.0,300,959,928,15.6,1,origin,1.0
56,tomo_13973d,234.0,221.0,808.0,500,924,956,19.7,1,origin,1.0
57,tomo_139d9e,153.0,611.0,172.0,300,959,928,15.6,1,origin,1.0
58,tomo_1446aa,149.0,293.0,601.0,300,960,928,13.1,1,origin,1.0
59,tomo_146de2,-1.0,-1.0,-1.0,500,924,956,16.1,0,origin,1.0
60,tomo_16136a,141.0,566.0,443.0,300,960,928,16.8,1,origin,1.0
61,tomo_161683,186.0,145.0,370.0,300,928,928,15.6,1,origin,1.0
62,tomo_16efa8,183.0,379.0,752.0,300,960,928,13.1,1,origin,1.0
63,tomo_16fce8,-1.0,-1.0,-1.0,300,960,928,15.6,0,round1,1.0
64,tomo_17143f,-1.0,-1.0,-1.0,300,960,928,15.6,0,origin,1.0
65,tomo_172f08,375.75,551.5,893.5,800,928,960,13.1,0,round1,0.60546875
66,tomo_180bfd,-1.0,-1.0,-1.0,300,960,928,16.8,0,origin,1.0
67,tomo_183270,-1.0,-1.0,-1.0,800,928,960,13.1,0,origin,1.0
68,tomo_191bcb,149.0,417.0,500.0,300,960,928,13.1,1,origin,1.0
